X,Y,OBJECTID,BUSINESS_ID,NAME,ADDRESS,CITY,STATE,POSTAL_CODE,LATITUDE,LONGITUDE,PHONE_NUMBER
2144760.82769164,780671.40144746,1446624,0686332A-1422-201B-1921E27F28651CDF,Subway #41217,8410-140 Louisburg RD ,RALEIGH,NC,27616,35.89400635,-78.51125194,19192660300
2108527.26367597,742228.297231466,1446625,08BE77F0-BD78-5B44-23A13EBF2F5FB0C4,PIEBIRD,618 N PERSON ST ,RALEIGH,NC,27604,35.78882326,-78.6340625,19195087612
2073755.20297089,752560.4609503,1446626,08C8DB62-F40E-0251-F00B00951468069F,SAS BUILDING C CAFE,820 SAS CAMPUS DR ,CARY,NC,27513,35.81750425,-78.75122071,19195318651
2048530.86299972,695532.88537313,1446627,08FB1466-DF49-AD63-9BAD02404B09A9C0,SUBWAY #50592,601 N MAIN ST ,HOLLY SPRINGS,NC,27545,35.66097455,-78.83661982,19195574411
2156818.15626723,788915.346901804,1446628,09001E9C-D5DC-8D29-3B8577684E81ADD8,ANZIO'S PIZZA,252 SOUTHTOWN CIR ,ROLESVILLE,NC,27571,35.91648377,-78.47039569,19195548881
2143433.39661948,801314.37098822,1446629,09064FBA-F51A-70A9-5EF49F9709F54CDC,THAI CAFE #2,3309 ROGERS RD ,WAKE FOREST,NC,27587,35.95073316,-78.51539337,19194531679
2130658.43266815,745934.289163291,1446630,0955966E-B707-AD2C-284027D6708858FD,El Tapatio #4,4511 New Bern AVE,RALEIGH,NC,27610,35.79875761,-78.55938498,19192559161
2042379.44420023,760013.661923125,1446631,09C7AEAE-E078-149F-E8394F82D33BE4FC,Wendy's #11610583,4023 Davis DR,MORRISVILLE,NC,27560,35.83815015,-78.85701601,19194603966
2042054.72011214,759094.585021138,1446632,09CD5F39-BB6A-3A29-5521E52514E45641,Red Dragon,4051 Davis DR,MORRISVILLE,NC,27560,35.8356265,-78.85811603,19193881836
2106731.83288364,742451.632414714,1446633,09DD3249-C3D9-D51B-CDC29F7B05CA93DF,NIGHT KITCHEN BAKERY,10 W. FRANKLIN STREET,RALEIGH,NC,27604,35.78945486,-78.64011364,19842328907
2065085.28855222,722754.719380796,1446634,09F0350C-DCDB-B721-22A3A56A050176ED,HARRIS TEETER #257 STARBUCKS,2080 KILDAIRE FARM ROAD,CARY,NC,27518,35.73567522,-78.78068669,19192339483
2033120.51094648,762186.228444129,1446635,0A0205D6-9B17-15A1-A3CE3BE3FCCB54EA,TAZIKI'S RTP,7161 O'KELLY CHAPEL ROAD,CARY,NC,27519,35.84415135,-78.88824644,19193712693
2106943.91677706,739813.515315637,1446636,0A13BA57-C174-0E85-6B07EA03485E77D6,ACRO CAFE,11 W JONES ST ,RALEIGH,NC,27601,35.78220511,-78.63943083,19197337450
2087965.69718765,767620.170988292,1446637,0A34A22A-1422-201B-19C3CA251CE423A7,BRUEGGERS BAGELS #24,6274 GLENWOOD AVE ,RALEIGH,NC,27612,35.85876954,-78.70313649,19198812626
2044256.87515664,721608.265636966,1446638,0AAFCC59-CA38-9890-89731E940F61BA1F,Cantina 2 twenty five,225 N. SALEM STREET,APEX,NC,27502,35.73263171,-78.8508764,19194463366
2047256.74087606,766179.092833713,1446639,0ADF44D6-945D-E172-89AC65F2DFE2C98B,HYATT HOUSE FOOD SERVICE,10962 CHAPEL HILL RD ,MORRISVILLE,NC,27560,35.85506763,-78.84052711,19193885355
2066046.30434673,787755.841674879,1446640,0AF8005B-CE16-CCE0-932AFBE166566596,WING STOP #816,7880 ALEXANDER PROMENADE PLACE,RALEIGH,NC,27617,35.91424375,-78.77695631,19192373919
2049150.85355765,687614.208953291,1446641,0B2C513A-A8D1-22A5-27B591901FCF70F5,CHICK-FIL-A #2181,801 VILLAGE WALK  DR ,HOLLY SPRING,NC,27540,35.6392159,-78.83457704,19195670060
2094875.00915639,778807.165674627,1446642,0A45A024-1422-201B-19D5ABA79D67ACF5,BRUEGGERS BAGELS #143,7550-106 CREEDMOOR RD ,RALEIGH,NC,27613,35.88944343,-78.67969753,19198484902
2103928.19872715,722643.387582466,1446643,0B381E71-ADE8-82F3-FC739593FA1C1AC3,Bojangles #5,3301 S Wilmington ST ,RALEIGH,NC,27603,35.73506324,-78.64980268,19197724512
2113924.12788223,764438.082536221,1446644,0B4D3655-9183-E0D4-0A8CDF1A87CBBD98,TIJUANA FLATS #138,1310 E MILLBROOK RD ,RALEIGH,NC,27609,35.84978294,-78.61557526,19197906409
2111637.56552623,773586.192848876,1446645,0B0F9737-D86D-0F22-B093900D48E2C603,SMASHBURGER,6679-105 FALLS OF NEUSE ROAD,RALEIGH,NC,27615,35.87493875,-78.62317377,19198709230
2068154.53930348,757518.2896173,1446646,0B61CA48-DE79-9641-365232D17ECEDF22,TROPICAL SMOOTHIE 020 NC,817 BASS PRO LN ,CARY,NC,27513,35.83116175,-78.77007317,19193789333
2105000.81108323,718539.407929555,1446647,0B8CAD6F-9F39-6789-01B377329CF62C1A,MoonRunners Saloon,1506 US 70 HWY W ,GARNER,NC,27529,35.72377782,-78.64623771,19196625119
